fweatherid,fweatherdate,temperature,fcaseprovinceid,fcasedate,fvaccinationdate,fvaccinationprovinceid,proportionfullyvaccinated,ratechangecases
8401300,2020-12-01,1.5,10,2020-12-19,2020-12-19,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-19,2020-12-19,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-19,2020-12-19,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-19,2020-12-19,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-19,2020-12-19,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-26,2020-12-19,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-26,2020-12-19,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-26,2020-12-19,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-26,2020-12-19,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-26,2020-12-19,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-05,2020-12-26,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-05,2020-12-26,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-05,2020-12-26,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-05,2020-12-26,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-05,2020-12-26,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-05,2020-12-19,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-05,2020-12-19,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-05,2020-12-19,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-05,2020-12-19,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-05,2020-12-19,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-12,2020-12-26,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-12,2020-12-26,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-12,2020-12-26,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-12,2020-12-26,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-12,2020-12-26,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-26,2020-12-26,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-26,2020-12-26,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-26,2020-12-26,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-26,2020-12-26,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-26,2020-12-26,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-19,2020-12-26,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-19,2020-12-26,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-19,2020-12-26,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-19,2020-12-26,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-19,2020-12-26,10,0,69.8225
8401300,2020-12-01,1.5,10,2020-12-12,2020-12-19,10,0,69.8225
8401298,2020-12-01,1,10,2020-12-12,2020-12-19,10,0,69.8225
8401295,2020-12-01,5.7,10,2020-12-12,2020-12-19,10,0,69.8225
8400812,2020-12-01,-0.2,10,2020-12-12,2020-12-19,10,0,69.8225
8400601,2020-12-01,2,10,2020-12-12,2020-12-19,10,0,69.8225
8300596,2020-12-01,0.7,11,2020-12-26,2020-12-26,11,0,51.2625
8300562,2020-12-01,3.9,11,2020-12-26,2020-12-26,11,0,51.2625
8300301,2020-12-01,1,11,2020-12-26,2020-12-26,11,0,51.2625
8300497,2020-12-01,1.8,11,2020-12-26,2020-12-26,11,0,51.2625
8300590,2020-12-01,1.7,11,2020-12-26,2020-12-26,11,0,51.2625
8300596,2020-12-01,0.7,11,2020-12-12,2020-12-26,11,0,51.2625
8300562,2020-12-01,3.9,11,2020-12-12,2020-12-26,11,0,51.2625
8300301,2020-12-01,1,11,2020-12-12,2020-12-26,11,0,51.2625
8300497,2020-12-01,1.8,11,2020-12-12,2020-12-26,11,0,51.2625
8300590,2020-12-01,1.7,11,2020-12-12,2020-12-26,11,0,51.2625
8300596,2020-12-01,0.7,11,2020-12-05,2020-12-26,11,0,51.2625
8300562,2020-12-01,3.9,11,2020-12-05,2020-12-26,11,0,51.2625
8300301,2020-12-01,1,11,2020-12-05,2020-12-26,11,0,51.2625
8300497,2020-12-01,1.8,11,2020-12-05,2020-12-26,11,0,51.2625
8300590,2020-12-01,1.7,11,2020-12-05,2020-12-26,11,0,51.2625
8300596,2020-12-01,0.7,11,2020-12-19,2020-12-26,11,0,51.2625
