caseprovinceid,casedate,totalcases,numberdeaths
59,2020-02-01,1,0
48,2020-02-01,0,0
47,2020-02-01,0,0
46,2020-02-01,0,0
35,2020-02-01,3,0
24,2020-02-01,0,0
10,2020-02-01,0,0
13,2020-02-01,0,0
12,2020-02-01,0,0
11,2020-02-01,0,0
60,2020-02-01,0,0
61,2020-02-01,0,0
62,2020-02-01,0,0
99,2020-02-01,0,0
1,2020-02-01,4,0
59,2020-02-08,4,0
48,2020-02-08,0,0
47,2020-02-08,0,0
46,2020-02-08,0,0
35,2020-02-08,3,0
24,2020-02-08,0,0
10,2020-02-08,0,0
13,2020-02-08,0,0
12,2020-02-08,0,0
11,2020-02-08,0,0
60,2020-02-08,0,0
61,2020-02-08,0,0
62,2020-02-08,0,0
99,2020-02-08,0,0
1,2020-02-08,7,0
59,2020-02-15,4,0
48,2020-02-15,0,0
47,2020-02-15,0,0
46,2020-02-15,0,0
35,2020-02-15,3,0
24,2020-02-15,0,0
10,2020-02-15,0,0
13,2020-02-15,0,0
12,2020-02-15,0,0
11,2020-02-15,0,0
60,2020-02-15,0,0
61,2020-02-15,0,0
62,2020-02-15,0,0
99,2020-02-15,0,0
1,2020-02-15,7,0
59,2020-02-22,6,0
48,2020-02-22,0,0
47,2020-02-22,0,0
46,2020-02-22,0,0
35,2020-02-22,3,0
24,2020-02-22,0,0
10,2020-02-22,0,0
13,2020-02-22,0,0
12,2020-02-22,0,0
11,2020-02-22,0,0
60,2020-02-22,0,0
61,2020-02-22,0,0
62,2020-02-22,0,0
99,2020-02-22,0,0
1,2020-02-22,9,0
59,2020-02-29,7,0
48,2020-02-29,0,0
47,2020-02-29,0,0
46,2020-02-29,0,0
35,2020-02-29,8,0
24,2020-02-29,0,0
10,2020-02-29,0,0
13,2020-02-29,0,0
12,2020-02-29,0,0
11,2020-02-29,0,0
60,2020-02-29,0,0
61,2020-02-29,0,0
62,2020-02-29,0,0
99,2020-02-29,0,0
1,2020-02-29,15,0
59,2020-03-07,27,0
48,2020-03-07,2,0
47,2020-03-07,0,0
46,2020-03-07,0,0
35,2020-03-07,28,0
24,2020-03-07,1,0
10,2020-03-07,0,0
13,2020-03-07,0,0
12,2020-03-07,0,0
11,2020-03-07,0,0
60,2020-03-07,0,0
61,2020-03-07,0,0
62,2020-03-07,0,0
99,2020-03-07,0,0
1,2020-03-07,58,0
59,2020-03-14,64,1
48,2020-03-14,56,0
47,2020-03-14,2,0
46,2020-03-14,4,0
35,2020-03-14,79,0
24,2020-03-14,7,0
10,2020-03-14,0,0
13,2020-03-14,2,0
12,2020-03-14,2,0
11,2020-03-14,1,0
60,2020-03-14,0,0
61,2020-03-14,0,0
62,2020-03-14,0,0
99,2020-03-14,2,0
1,2020-03-14,219,1
59,2020-03-21,424,10
48,2020-03-21,244,1
47,2020-03-21,44,0
46,2020-03-21,19,0
35,2020-03-21,377,0
24,2020-03-21,288,5
10,2020-03-21,6,0
13,2020-03-21,17,0
12,2020-03-21,30,0
11,2020-03-21,2,0
60,2020-03-21,1,0
61,2020-03-21,1,0
62,2020-03-21,0,0
99,2020-03-21,13,0
1,2020-03-21,1466,16
59,2020-03-28,884,16
48,2020-03-28,665,1
47,2020-03-28,134,0
46,2020-03-28,64,1
35,2020-03-28,993,0
24,2020-03-28,2368,44
10,2020-03-28,120,0
13,2020-03-28,51,0
12,2020-03-28,102,0
11,2020-03-28,13,0
60,2020-03-28,4,0
61,2020-03-28,1,0
62,2020-03-28,0,0
99,2020-03-28,13,0
1,2020-03-28,5412,62
59,2020-04-04,1203,38
48,2020-04-04,1231,23
47,2020-04-04,231,3
46,2020-04-04,194,2
35,2020-04-04,3630,94
24,2020-04-04,6749,203
10,2020-04-04,195,1
13,2020-04-04,98,0
12,2020-04-04,246,0
11,2020-04-04,22,0
60,2020-04-04,6,0
61,2020-04-04,4,0
62,2020-04-04,0,0
99,2020-04-04,13,0
1,2020-04-04,13822,364
59,2020-04-11,1445,58
48,2020-04-11,1551,45
47,2020-04-11,289,4
46,2020-04-11,242,4
35,2020-04-11,6648,252
24,2020-04-11,11263,622
10,2020-04-11,241,2
13,2020-04-11,112,0
12,2020-04-11,422,2
11,2020-04-11,24,0
