weatherid,date,temperature,proportionfullyvaccinated,ratechangecases
1011500,2020-12-01,5.6,0.0,817.275
1011500,2021-01-01,5.3,0.06,1136.35
1011500,2021-02-01,4.1,0.825,1408.045
1011500,2021-03-01,7.2,1.7,1687.38
1011500,2021-04-01,10.9,1.7,2145.95
1011500,2021-05-01,13.4,2.52,2592.694
1011500,2021-06-01,19.3,15.1,2754.15
1011500,2021-07-01,21.3,46.48,2794.28
1011500,2021-08-01,20.2,65.325,2969.5674
1011500,2021-09-01,15.6,69.925,3313.295
1011500,2021-10-01,9.9,73.94,3705.672
1011500,2021-11-01,7.0,76.85,4011.71
1011500,2021-12-01,2.2,78.075,4264.0225
1011500,2022-01-01,4.0,77.68,5514.764
1011500,2022-02-01,5.3,79.4,6409.1377
1011500,2022-03-01,7.7,80.75,6634.89
1011500,2022-04-01,7.9,81.36667000000001,6790.928
1011500,2022-05-01,11.1,81.65,6951.26
1011500,2022-06-01,16.1,81.9,7023.9927
1011500,2022-07-01,20.0,82.0,7093.469999999999
1011500,2022-08-01,21.3,82.1,7169.3677
1011500,2022-09-01,17.7,82.2,7218.2476
1011500,2022-10-01,13.8,82.2,7272.35
1011500,2022-11-01,4.3,82.5,7317.8774
1011500,2022-12-01,2.2,82.7,7367.123999999999
1011500,2023-01-01,5.5,82.95,7416.4224
1012475,2020-12-01,7.2,0.0,817.275
1012475,2021-01-01,7.1,0.06,1136.35
1012475,2021-02-01,5.1,0.825,1408.045
1012475,2021-03-01,7.2,1.7,1687.38
1012475,2021-04-01,9.9,1.7,2145.95
1012475,2021-05-01,11.3,2.52,2592.694
1012475,2021-06-01,15.1,15.1,2754.15
1012475,2021-07-01,14.8,46.48,2794.28
1012475,2021-08-01,15.9,65.325,2969.5674
1012475,2021-09-01,13.7,69.925,3313.295
1012475,2021-10-01,10.5,73.94,3705.672
1012475,2021-11-01,8.9,76.85,4011.71
1012475,2021-12-01,3.8,78.075,4264.0225
1012475,2022-01-01,5.7,77.68,5514.764
1012475,2022-02-01,6.1,79.4,6409.1377
1012475,2022-03-01,7.8,80.75,6634.89
1012475,2022-04-01,8.1,81.36667000000001,6790.928
1012475,2022-05-01,10.4,81.65,6951.26
1012475,2022-06-01,13.7,81.9,7023.9927
1012475,2022-07-01,15.1,82.0,7093.469999999999
1012475,2022-08-01,16.3,82.1,7169.3677
1012475,2022-09-01,15.1,82.2,7218.2476
1012475,2022-10-01,12.6,82.2,7272.35
1012475,2022-11-01,6.4,82.5,7317.8774
1012475,2022-12-01,4.3,82.7,7367.123999999999
1012475,2023-01-01,6.9,82.95,7416.4224
1012710,2020-12-01,6.5,0.0,817.275
1012710,2021-01-01,6.3,0.06,1136.35
1012710,2021-02-01,4.6,0.825,1408.045
1012710,2021-03-01,6.5,1.7,1687.38
1012710,2021-04-01,9.8,1.7,2145.95
1012710,2021-05-01,12.1,2.52,2592.694
1012710,2021-06-01,15.9,15.1,2754.15
