vaccinationdate,vaccinationprovinceid,fullyvaccinated,partiallyvaccinated
2020-12-19,1,0,12368
2020-12-19,10,0,972
2020-12-19,12,0,1092
2020-12-19,24,0,4728
2020-12-19,46,0,894
2020-12-19,47,0,1048
2020-12-19,59,0,3634
2020-12-19,60,0,0
2020-12-19,61,0,0
2020-12-19,62,0,0
2020-12-26,1,0,46180
2020-12-26,10,0,1785
2020-12-26,11,0,1152
2020-12-26,12,0,2218
2020-12-26,13,0,2606
2020-12-26,24,0,17221
2020-12-26,46,0,2177
2020-12-26,47,0,1782
2020-12-26,48,0,4792
2020-12-26,59,0,12447
2020-12-26,60,0,0
2020-12-26,61,0,0
2020-12-26,62,0,0
2021-01-02,1,0,82530
2021-01-02,10,0,1785
2021-01-02,11,0,1674
2021-01-02,12,0,2720
2021-01-02,13,0,2886
2021-01-02,24,0,28310
2021-01-02,46,0,3432
2021-01-02,47,0,3540
2021-01-02,48,0,13383
2021-01-02,59,0,24670
2021-01-02,60,0,0
2021-01-02,61,0,130
2021-01-02,62,0,0
2021-01-09,1,4527,212866
2021-01-09,10,853,1994
2021-01-09,11,0,2485
2021-01-09,12,1076,1679
2021-01-09,13,0,6241
2021-01-09,24,379,83298
2021-01-09,46,880,7814
2021-01-09,47,959,4569
2021-01-09,48,724,43574
2021-01-09,59,35,60180
2021-01-09,60,0,495
2021-01-09,61,0,511
2021-01-09,62,0,26
2021-01-16,1,26769,538207
2021-01-16,10,1734,2516
2021-01-16,11,1395,2913
2021-01-16,12,2207,3533
2021-01-16,13,2565,5353
2021-01-16,24,1745,145783
2021-01-16,35,10857,178383
2021-01-16,46,2144,14355
2021-01-16,47,1745,12578
2021-01-16,48,4075,77784
2021-01-16,59,47,89668
2021-01-16,60,0,1309
2021-01-16,61,0,1891
2021-01-16,62,0,2141
2021-01-23,1,59309,716237
2021-01-23,10,1737,5711
2021-01-23,11,1892,3339
2021-01-23,12,2708,5580
2021-01-23,13,2841,8675
2021-01-23,24,2708,218827
2021-01-23,35,31441,217691
2021-01-23,46,3396,22443
2021-01-23,47,2465,21222
2021-01-23,48,9469,80088
2021-01-23,59,3360,114792
2021-01-23,60,0,3950
2021-01-23,61,0,9471
2021-01-23,62,0,4448
2021-01-30,1,113662,745635
2021-01-30,10,2762,5591
2021-01-30,11,2565,2721
2021-01-30,12,2729,9361
2021-01-30,13,4465,8326
2021-01-30,24,3078,239499
2021-01-30,35,68849,201946
2021-01-30,46,8503,23938
2021-01-30,47,3078,24157
2021-01-30,48,15994,74244
2021-01-30,59,4592,130911
2021-01-30,60,0,7355
2021-01-30,61,125,12122
2021-01-30,62,0,5464
2021-02-06,1,173811,727674
2021-02-06,10,4068,4822
2021-02-06,11,3513,1796
2021-02-06,12,5133,7716
2021-02-06,13,5419,7843
2021-02-06,24,5406,257501
2021-02-06,35,101744,175696
2021-02-06,46,13643,19998
2021-02-06,47,5406,24376
2021-02-06,48,21679,68989
2021-02-06,59,12128,130874
2021-02-06,60,479,9968
2021-02-06,61,299,12531
2021-02-06,62,300,5564
2021-02-13,1,307379,665732
2021-02-13,10,5449,4343
2021-02-13,11,4898,799
2021-02-13,12,8039,6688
2021-02-13,13,7503,6158
2021-02-13,24,8039,293739
2021-02-13,35,174643,118340
2021-02-13,46,20406,14442
2021-02-13,47,9545,23338
2021-02-13,48,50682,44314
2021-02-13,59,22634,126556
2021-02-13,60,867,9657
2021-02-13,61,579,12996
2021-02-13,62,2134,4362
2021-02-20,1,435290,651343
2021-02-20,10,6112,4324
2021-02-20,11,5161,1297
2021-02-20,12,8225,6690
2021-02-20,13,11032,4239
2021-02-20,24,11032,345987
2021-02-20,35,235053,84862
2021-02-20,46,25197,11082
2021-02-20,47,15973,21811
2021-02-20,48,66188,37048
2021-02-20,59,55218,109031
2021-02-20,60,1090,9523
2021-02-20,61,1934,12583
2021-02-20,62,4107,2866
2021-02-27,1,538421,843166
2021-02-27,10,8212,8411
2021-02-27,11,5217,2154
2021-02-27,12,12618,7116
2021-02-27,13,12137,9563
2021-02-27,24,12618,431743
2021-02-27,35,261923,163239
2021-02-27,46,28976,17675
2021-02-27,47,23468,22842
2021-02-27,48,87407,52554
2021-02-27,59,84022,108741
2021-02-27,60,4802,6157
2021-02-27,61,4558,10656
2021-02-27,62,5081,2315
2021-03-06,1,573685,1281301
2021-03-06,10,9136,11951
2021-03-06,11,5512,3166
2021-03-06,12,14433,10578
2021-03-06,13,12147,14182
2021-03-06,24,14433,548031
2021-03-06,35,271832,347483
2021-03-06,46,30362,29038
2021-03-06,47,27386,29136
2021-03-06,48,90618,111622
2021-03-06,59,87059,160497
2021-03-06,60,8593,5972
2021-03-06,61,11149,5904
2021-03-06,62,5458,3741
2021-03-13,1,597789,1902439
2021-03-13,10,9242,18176
2021-03-13,11,5601,4796
