weatherid,weatherdate,weatherprovinceid,temperature
1011500,2020-12-01,59,5.6
1012475,2020-12-01,59,7.2
1012710,2020-12-01,59,6.5
1014820,2020-12-01,59,4.7
1015630,2020-12-01,59,4.4
2100155,2020-12-01,60,-20.8
2100181,2020-12-01,60,-14.9
2100184,2020-12-01,60,-14.9
2100301,2020-12-01,60,-15.1
2100407,2020-12-01,60,-22.2
2200105,2020-12-01,61,-25.0
2200675,2020-12-01,61,-22.0
2200827,2020-12-01,61,-24.5
2201022,2020-12-01,61,-21.7
2201023,2020-12-01,61,-21.0
2300501,2020-12-01,62,-25.8
2300503,2020-12-01,62,-25.5
2300504,2020-12-01,62,-25.4
2300551,2020-12-01,62,-26.7
2300710,2020-12-01,62,-22.5
3010010,2020-12-01,48,-8.2
3010060,2020-12-01,48,-7.6
3010162,2020-12-01,48,-6.0
3010237,2020-12-01,48,-7.8
3010650,2020-12-01,48,-6.8
4010811,2020-12-01,47,-8.1
4010879,2020-12-01,47,-7.7
4012403,2020-12-01,47,-6.6
4012410,2020-12-01,47,-6.5
4013480,2020-12-01,47,-8.2
5010140,2020-12-01,46,-6.2
5010481,2020-12-01,46,-8.7
5010490,2020-12-01,46,-8.4
5010547,2020-12-01,46,-8.0
5010641,2020-12-01,46,-7.5
6010400,2020-12-01,35,-13.9
6010735,2020-12-01,35,-15.6
6010740,2020-12-01,35,-15.6
6012199,2020-12-01,35,-10.5
6012501,2020-12-01,35,-16.6
7010565,2020-12-01,24,-3.2
7011983,2020-12-01,24,-4.6
7014160,2020-12-01,24,-2.7
7015791,2020-12-01,24,-8.6
7016293,2020-12-01,24,-4.7
8100300,2020-12-01,13,-3.0
8100467,2020-12-01,13,-1.4
8100506,2020-12-01,13,-3.4
8100885,2020-12-01,13,-3.7
8100989,2020-12-01,13,-2.0
8200255,2020-12-01,12,4.4
8200558,2020-12-01,12,3.5
8200574,2020-12-01,12,2.2
8200604,2020-12-01,12,4.0
8200774,2020-12-01,12,2.4
8300301,2020-12-01,11,1.0
8300497,2020-12-01,11,1.8
8300562,2020-12-01,11,3.9
8300590,2020-12-01,11,1.7
8300596,2020-12-01,11,0.7
8400601,2020-12-01,10,2.0
